,common_residues,ca_rmsd,all_atom_rmsd,backbone_rmsd,sidechain_rmsd,ramachandran_favored,molprobity_score,hbond_conservation,hydrophobic_conservation,bfactor_correlation
common_residues,1.0,-0.0007439453285694659,-0.05075766601672288,-0.030136653383961664,-0.06433967741915299,0.18043213839633024,-0.3209665058180223,0.2760247689757714,0.285505798112109,0.4162651308013779
ca_rmsd,-0.0007439453285694659,1.0,0.9642085740469352,0.9809764841528441,0.9470740594500907,-0.07682912432329625,0.04346218502125299,-0.07674469498910548,-0.06568787055302679,-0.07889280465781331
all_atom_rmsd,-0.05075766601672288,0.9642085740469352,1.0,0.9536592138799156,0.9290417605929825,-0.09622295847039837,0.07775020614162859,-0.10919869095442777,-0.0953483323135326,-0.12601449807604762
backbone_rmsd,-0.030136653383961664,0.9809764841528441,0.9536592138799156,1.0,0.940134732095588,-0.08995026583950723,0.06541597403960221,-0.09985230191365882,-0.08760257737881935,-0.1082680454007696
sidechain_rmsd,-0.06433967741915299,0.9470740594500907,0.9290417605929825,0.940134732095588,1.0,-0.10744386139030476,0.09562519041702142,-0.12115003454992665,-0.11228502425882983,-0.14387655384322942
ramachandran_favored,0.18043213839633024,-0.07682912432329625,-0.09622295847039837,-0.08995026583950723,-0.10744386139030476,1.0,-0.20632971681031745,0.2652850873661376,0.255425694742222,0.2934398314648462
molprobity_score,-0.3209665058180223,0.04346218502125299,0.07775020614162859,0.06541597403960221,0.09562519041702142,-0.20632971681031745,1.0,-0.28258270536359814,-0.2580956608849098,-0.37238916443179654
hbond_conservation,0.2760247689757714,-0.07674469498910548,-0.10919869095442777,-0.09985230191365882,-0.12115003454992665,0.2652850873661376,-0.28258270536359814,1.0,0.3289739449727456,0.41507442469395095
hydrophobic_conservation,0.285505798112109,-0.06568787055302679,-0.0953483323135326,-0.08760257737881935,-0.11228502425882983,0.255425694742222,-0.2580956608849098,0.3289739449727456,1.0,0.39137301734075586
bfactor_correlation,0.4162651308013779,-0.07889280465781331,-0.12601449807604762,-0.1082680454007696,-0.14387655384322942,0.2934398314648462,-0.37238916443179654,0.41507442469395095,0.39137301734075586,1.0
